Id,PostId,Score,CreationDate,UserId
1,3,5,2010-07-19 19:15:52,13
2,5,0,2010-07-19 19:16:14,13
3,9,0,2010-07-19 19:18:54,13
4,5,11,2010-07-19 19:19:56,37
5,3,1,2010-07-19 19:20:28,5
6,14,9,2010-07-19 19:22:27,23
7,18,1,2010-07-19 19:25:47,36
9,16,0,2010-07-19 19:30:24,78
10,23,4,2010-07-19 19:31:18,
11,43,5,2010-07-19 19:34:20,5
12,38,0,2010-07-19 19:37:33,54
13,20,2,2010-07-19 19:38:01,24
14,46,6,2010-07-19 19:38:30,74
15,3,2,2010-07-19 19:44:47,24
16,8,2,2010-07-19 19:46:19,13
18,36,10,2010-07-19 19:48:32,68
19,8,0,2010-07-19 19:50:40,6
20,54,3,2010-07-19 19:51:06,
21,77,1,2010-07-19 19:56:18,8
22,56,1,2010-07-19 19:56:21,104
23,57,3,2010-07-19 19:56:28,74
24,73,0,2010-07-19 19:58:20,107
25,76,1,2010-07-19 19:59:04,22
27,77,0,2010-07-19 20:01:15,55
28,57,5,2010-07-19 20:02:25,69
29,79,0,2010-07-19 20:03:30,55
30,57,3,2010-07-19 20:03:31,87
31,54,0,2010-07-19 20:05:22,55
32,73,2,2010-07-19 20:05:57,5
33,73,2,2010-07-19 20:06:56,22
34,56,8,2010-07-19 20:11:13,
35,43,0,2010-07-19 20:11:28,33
36,3,0,2010-07-19 20:15:51,13
38,73,0,2010-07-19 20:19:28,13
39,75,2,2010-07-19 20:23:01,13
41,16,3,2010-07-19 20:25:52,120
42,65,4,2010-07-19 20:30:23,47
43,75,0,2010-07-19 20:32:02,69
44,103,6,2010-07-19 20:37:20,74
45,73,0,2010-07-19 20:37:27,22
46,44,6,2010-07-19 20:38:14,46
47,105,0,2010-07-19 20:39:12,5
48,103,0,2010-07-19 20:39:39,122
50,16,0,2010-07-19 20:43:25,8
51,65,0,2010-07-19 20:45:49,8
52,38,0,2010-07-19 20:46:12,61
53,80,0,2010-07-19 20:46:46,58
54,80,0,2010-07-19 20:48:04,58
55,59,4,2010-07-19 20:53:53,8
56,101,1,2010-07-19 20:54:37,13
57,75,1,2010-07-19 20:58:26,13
59,116,0,2010-07-19 21:11:30,8
60,110,0,2010-07-19 21:18:07,117
62,116,0,2010-07-19 21:20:53,61
64,118,11,2010-07-19 21:30:23,88
65,130,7,2010-07-19 21:33:33,88
66,116,0,2010-07-19 21:34:21,8
67,130,0,2010-07-19 21:34:28,5
68,130,0,2010-07-19 21:35:25,13
69,130,0,2010-07-19 21:37:16,5
70,134,1,2010-07-19 21:38:27,88
71,120,9,2010-07-19 21:38:48,83
73,138,9,2010-07-19 21:40:12,5
74,116,1,2010-07-19 21:42:04,66
76,130,0,2010-07-19 21:51:17,90
77,130,5,2010-07-19 21:54:08,88
78,145,0,2010-07-19 21:54:47,22
79,145,0,2010-07-19 21:56:44,13
80,130,0,2010-07-19 21:59:52,13
81,130,0,2010-07-19 22:18:16,88
82,20,5,2010-07-19 22:24:14,
83,145,0,2010-07-19 22:28:22,88
84,7,2,2010-07-19 22:31:13,88
85,75,1,2010-07-19 22:39:45,88
86,110,0,2010-07-19 22:42:33,61
87,130,0,2010-07-19 22:52:59,90
88,157,0,2010-07-19 23:01:30,13
89,86,0,2010-07-19 23:28:39,159
90,143,0,2010-07-19 23:32:20,131
91,137,0,2010-07-19 23:34:20,131
92,137,0,2010-07-19 23:35:23,131
93,150,0,2010-07-19 23:54:17,74
94,86,0,2010-07-19 23:56:45,13
95,145,3,2010-07-20 00:10:26,71
96,101,0,2010-07-20 00:12:40,13
97,43,3,2010-07-20 01:01:12,173
98,5,10,2010-07-20 01:22:43,1356
99,134,0,2010-07-20 01:29:42,174
100,86,5,2010-07-20 01:43:31,174
101,46,1,2010-07-20 01:59:53,62
104,188,3,2010-07-20 02:18:02,6
105,196,0,2010-07-20 02:35:25,87
106,188,2,2010-07-20 02:39:24,61
108,25,0,2010-07-20 04:09:28,74
109,200,0,2010-07-20 04:33:45,175
110,101,1,2010-07-20 05:07:08,187
112,54,12,2010-07-20 05:28:20,187
113,200,2,2010-07-20 05:29:24,174
114,220,2,2010-07-20 05:41:15,195
115,167,0,2010-07-20 05:52:50,144
116,222,0,2010-07-20 05:53:59,144
117,224,0,2010-07-20 06:05:54,5
118,225,0,2010-07-20 06:08:48,196
119,167,2,2010-07-20 06:14:32,159
120,223,1,2010-07-20 06:25:48,5
121,225,1,2010-07-20 06:26:28,173
